"cod_hito";"rpm";"limite_exigido";"frecuencia_exigida";"fecha_emision"
14260;535;"6 - 8,5";96;"03-07-2015"
14261;535;"6 - 8,5";96;"03-07-2015"
14262;535;"6 - 8,5";96;"03-07-2015"
14263;535;"6 - 8,5";96;"03-07-2015"
14264;535;"6 - 8,5";96;"03-07-2015"
14265;535;"6 - 8,5";96;"03-07-2015"
14266;535;"6 - 8,5";96;"03-07-2015"
14267;535;"6 - 8,5";96;"03-07-2015"
14268;535;"6 - 8,5";96;"03-07-2015"
14269;535;"6 - 8,5";96;"03-07-2015"
14270;535;"6 - 8,5";96;"03-07-2015"
14271;535;"6 - 8,5";96;"03-07-2015"
14272;535;"6 - 8,5";96;"03-07-2015"
14273;535;"6 - 8,5";96;"03-07-2015"
14274;535;"6 - 8,5";96;"03-07-2015"
14275;535;"6 - 8,5";96;"03-07-2015"
14276;535;"6 - 8,5";96;"03-07-2015"
14277;535;"6 - 8,5";96;"03-07-2015"
14278;535;"6 - 8,5";96;"03-07-2015"
14279;535;"6 - 8,5";96;"03-07-2015"
14280;535;"6 - 8,5";96;"03-07-2015"
14281;535;"6 - 8,5";96;"03-07-2015"
14282;535;"6 - 8,5";96;"03-07-2015"
14283;535;"6 - 8,5";96;"03-07-2015"
14284;535;"6 - 8,5";96;"03-07-2015"
14285;535;"6 - 8,5";96;"03-07-2015"
14286;535;"6 - 8,5";96;"03-07-2015"
14287;535;"6 - 8,5";96;"03-07-2015"
14288;535;"6 - 8,5";96;"03-07-2015"
14289;535;"6 - 8,5";96;"03-07-2015"
14290;535;"6 - 8,5";96;"03-07-2015"
14291;535;"6 - 8,5";96;"03-07-2015"
14292;535;"6 - 8,5";96;"03-07-2015"
14293;535;"6 - 8,5";96;"03-07-2015"
14294;535;"6 - 8,5";96;"03-07-2015"
14295;535;"6 - 8,5";96;"03-07-2015"
14296;535;"6 - 8,5";96;"03-07-2015"
14297;535;"6 - 8,5";96;"03-07-2015"
14298;535;"6 - 8,5";96;"03-07-2015"
